Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603",152.500000,-5.563000,180.000000,top
"C2","10uF","C_0603",141.500000,-5.563000,180.000000,top
"C3","100nF","C_0603",178.000000,-19.563000,180.000000,top
"C4","100nF","C_0603",181.000000,-7.563000,180.000000,top
"C_EN","1uF","C_0603",92.600000,-9.063000,180.000000,top
"D1","1N4148W","D_SOD-123_Keyboard",69.175000,-25.026000,180.000000,top
"D2","1N4148W","D_SOD-123_Keyboard",88.225000,-25.026000,180.000000,top
"D3","1N4148W","D_SOD-123_Keyboard",107.275000,-25.026000,180.000000,top
"D4","1N4148W","D_SOD-123_Keyboard",135.850000,-25.026000,180.000000,top
"D5","1N4148W","D_SOD-123_Keyboard",154.900000,-25.026000,180.000000,top
"D6","1N4148W","D_SOD-123_Keyboard",173.950000,-25.026000,180.000000,top
"D7","1N4148W","D_SOD-123_Keyboard",193.000000,-25.026000,180.000000,top
"D8","1N4148W","D_SOD-123_Keyboard",221.575000,-25.026000,180.000000,top
"D9","1N4148W","D_SOD-123_Keyboard",240.625000,-25.026000,180.000000,top
"D10","1N4148W","D_SOD-123_Keyboard",259.675000,-25.026000,180.000000,top
"D11","1N4148W","D_SOD-123_Keyboard",278.725000,-25.026000,180.000000,top
"D12","1N4148W","D_SOD-123_Keyboard",12.025000,-48.838000,180.000000,top
"D13","1N4148W","D_SOD-123_Keyboard",31.075000,-48.838000,180.000000,top
"D14","1N4148W","D_SOD-123_Keyboard",50.125000,-48.838000,180.000000,top
"D15","1N4148W","D_SOD-123_Keyboard",69.175000,-48.838000,180.000000,top
"D16","1N4148W","D_SOD-123_Keyboard",88.225000,-48.838000,180.000000,top
"D17","1N4148W","D_SOD-123_Keyboard",107.275000,-48.838000,180.000000,top
"D18","1N4148W","D_SOD-123_Keyboard",126.325000,-48.838000,180.000000,top
"D19","1N4148W","D_SOD-123_Keyboard",145.375000,-48.838000,180.000000,top
"D20","1N4148W","D_SOD-123_Keyboard",164.425000,-48.838000,180.000000,top
"D21","1N4148W","D_SOD-123_Keyboard",183.475000,-48.838000,180.000000,top
"D22","1N4148W","D_SOD-123_Keyboard",202.525000,-48.838000,180.000000,top
"D23","1N4148W","D_SOD-123_Keyboard",221.575000,-48.838000,180.000000,top
"D24","1N4148W","D_SOD-123_Keyboard",240.625000,-48.838000,180.000000,top
"D25","1N4148W","D_SOD-123_Keyboard",269.200000,-48.838000,180.000000,top
"D26","1N4148W","D_SOD-123_Keyboard",16.788000,-67.888000,180.000000,top
"D27","1N4148W","D_SOD-123_Keyboard",40.600000,-67.888000,180.000000,top
"D28","1N4148W","D_SOD-123_Keyboard",59.650000,-67.888000,180.000000,top
"D29","1N4148W","D_SOD-123_Keyboard",78.700000,-67.888000,180.000000,top
"D30","1N4148W","D_SOD-123_Keyboard",97.750000,-67.888000,180.000000,top
"D31","1N4148W","D_SOD-123_Keyboard",116.800000,-67.888000,180.000000,top
"D32","1N4148W","D_SOD-123_Keyboard",135.850000,-67.888000,180.000000,top
"D33","1N4148W","D_SOD-123_Keyboard",154.900000,-67.888000,180.000000,top
"D34","1N4148W","D_SOD-123_Keyboard",173.950000,-67.888000,180.000000,top
"D35","1N4148W","D_SOD-123_Keyboard",193.000000,-67.888000,180.000000,top
