Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603",152.500000,-144.500000,0.000000,top
"C2","10uF","C_0603",141.500000,-144.500000,0.000000,top
"C3","100nF","C_0603",178.000000,-130.500000,0.000000,top
"C4","100nF","C_0603",181.000000,-142.500000,0.000000,top
"D1","1N4148W","D_SOD-123_Keyboard",82.175000,-125.037000,0.000000,top
"D2","1N4148W","D_SOD-123_Keyboard",101.225000,-125.037000,0.000000,top
"D3","1N4148W","D_SOD-123_Keyboard",120.275000,-125.037000,0.000000,top
"D4","1N4148W","D_SOD-123_Keyboard",148.850000,-125.037000,0.000000,top
"D5","1N4148W","D_SOD-123_Keyboard",167.900000,-125.037000,0.000000,top
"D6","1N4148W","D_SOD-123_Keyboard",186.950000,-125.037000,0.000000,top
"D7","1N4148W","D_SOD-123_Keyboard",206.000000,-125.037000,0.000000,top
"D8","1N4148W","D_SOD-123_Keyboard",234.575000,-125.037000,0.000000,top
"D9","1N4148W","D_SOD-123_Keyboard",253.625000,-125.037000,0.000000,top
"D10","1N4148W","D_SOD-123_Keyboard",272.675000,-125.037000,0.000000,top
"D11","1N4148W","D_SOD-123_Keyboard",291.725000,-125.037000,0.000000,top
"D12","1N4148W","D_SOD-123_Keyboard",25.025000,-101.225000,0.000000,top
"D13","1N4148W","D_SOD-123_Keyboard",44.075000,-101.225000,0.000000,top
"D14","1N4148W","D_SOD-123_Keyboard",63.125000,-101.225000,0.000000,top
"D15","1N4148W","D_SOD-123_Keyboard",82.175000,-101.225000,0.000000,top
"D16","1N4148W","D_SOD-123_Keyboard",101.225000,-101.225000,0.000000,top
"D17","1N4148W","D_SOD-123_Keyboard",120.275000,-101.225000,0.000000,top
"D18","1N4148W","D_SOD-123_Keyboard",139.325000,-101.225000,0.000000,top
"D19","1N4148W","D_SOD-123_Keyboard",158.375000,-101.225000,0.000000,top
"D20","1N4148W","D_SOD-123_Keyboard",177.425000,-101.225000,0.000000,top
"D21","1N4148W","D_SOD-123_Keyboard",196.475000,-101.225000,0.000000,top
"D22","1N4148W","D_SOD-123_Keyboard",215.525000,-101.225000,0.000000,top
"D23","1N4148W","D_SOD-123_Keyboard",234.575000,-101.225000,0.000000,top
"D24","1N4148W","D_SOD-123_Keyboard",253.625000,-101.225000,0.000000,top
"D25","1N4148W","D_SOD-123_Keyboard",282.200000,-101.225000,0.000000,top
"D26","1N4148W","D_SOD-123_Keyboard",29.788000,-82.175000,0.000000,top
"D27","1N4148W","D_SOD-123_Keyboard",53.600000,-82.175000,0.000000,top
"D28","1N4148W","D_SOD-123_Keyboard",72.650000,-82.175000,0.000000,top
"D29","1N4148W","D_SOD-123_Keyboard",91.700000,-82.175000,0.000000,top
"D30","1N4148W","D_SOD-123_Keyboard",110.750000,-82.175000,0.000000,top
"D31","1N4148W","D_SOD-123_Keyboard",129.800000,-82.175000,0.000000,top
"D32","1N4148W","D_SOD-123_Keyboard",148.850000,-82.175000,0.000000,top
"D33","1N4148W","D_SOD-123_Keyboard",167.900000,-82.175000,0.000000,top
"D34","1N4148W","D_SOD-123_Keyboard",186.950000,-82.175000,0.000000,top
"D35","1N4148W","D_SOD-123_Keyboard",206.000000,-82.175000,0.000000,top
"D36","1N4148W","D_SOD-123_Keyboard",225.050000,-82.175000,0.000000,top
"D37","1N4148W","D_SOD-123_Keyboard",244.100000,-82.175000,0.000000,top
"D38","1N4148W","D_SOD-123_Keyboard",263.150000,-82.175000,0.000000,top
"D39","1N4148W","D_SOD-123_Keyboard",286.963000,-82.175000,0.000000,top
"D40","1N4148W","D_SOD-123_Keyboard",32.169000,-63.125000,0.000000,top
"D41","1N4148W","D_SOD-123_Keyboard",58.363000,-63.125000,0.000000,top
"D42","1N4148W","D_SOD-123_Keyboard",77.412000,-63.125000,0.000000,top
"D43","1N4148W","D_SOD-123_Keyboard",96.463000,-63.125000,0.000000,top
"D44","1N4148W","D_SOD-123_Keyboard",115.513000,-63.125000,0.000000,top
"D45","1N4148W","D_SOD-123_Keyboard",134.563000,-63.125000,0.000000,top
"D46","1N4148W","D_SOD-123_Keyboard",153.613000,-63.125000,0.000000,top
"D47","1N4148W","D_SOD-123_Keyboard",172.662000,-63.125000,0.000000,top
"D48","1N4148W","D_SOD-123_Keyboard",191.713000,-63.125000,0.000000,top
"D49","1N4148W","D_SOD-123_Keyboard",210.763000,-63.125000,0.000000,top
"D50","1N4148W","D_SOD-123_Keyboard",229.813000,-63.125000,0.000000,top
"D51","1N4148W","D_SOD-123_Keyboard",248.863000,-63.125000,0.000000,top
"D52","1N4148W","D_SOD-123_Keyboard",279.819000,-63.125000,0.000000,top
"D53","1N4148W","D_SOD-123_Keyboard",36.931000,-44.075000,0.000000,top
"D54","1N4148W","D_SOD-123_Keyboard",67.888000,-44.075000,0.000000,top
"D55","1N4148W","D_SOD-123_Keyboard",86.938000,-44.075000,0.000000,top
"D56","1N4148W","D_SOD-123_Keyboard",105.987000,-44.075000,0.000000,top
"D57","1N4148W","D_SOD-123_Keyboard",125.038000,-44.075000,0.000000,top
"D58","1N4148W","D_SOD-123_Keyboard",144.088000,-44.075000,0.000000,top
"D59","1N4148W","D_SOD-123_Keyboard",163.138000,-44.075000,0.000000,top
"D60","1N4148W","D_SOD-123_Keyboard",182.188000,-44.075000,0.000000,top
"D61","1N4148W","D_SOD-123_Keyboard",201.238000,-44.075000,0.000000,top
"D62","1N4148W","D_SOD-123_Keyboard",220.287000,-44.075000,0.000000,top
"D63","1N4148W","D_SOD-123_Keyboard",239.338000,-44.075000,0.000000,top
"D64","1N4148W","D_SOD-123_Keyboard",265.531000,-44.075000,0.000000,top
"D65","1N4148W","D_SOD-123_Keyboard",27.406000,-25.025000,0.000000,top
"D66","1N4148W","D_SOD-123_Keyboard",51.219000,-25.025000,0.000000,top
"D67","1N4148W","D_SOD-123_Keyboard",75.031000,-25.025000,0.000000,top
"D68","1N4148W","D_SOD-123_Keyboard",146.469000,-25.025000,0.000000,top
"D69","1N4148W","D_SOD-123_Keyboard",217.906000,-25.025000,0.000000,top
"D70","1N4148W","D_SOD-123_Keyboard",241.719000,-25.025000,0.000000,top
"D71","1N4148W","D_SOD-123_Keyboard",265.531000,-25.025000,0.000000,top
"D72","1N4148W","D_SOD-123_Keyboard",325.063000,-125.037000,0.000000,top
"D73","1N4148W","D_SOD-123_Keyboard",306.012000,-101.225000,0.000000,top
"D74","1N4148W","D_SOD-123_Keyboard",325.063000,-101.225000,0.000000,top
"D75","1N4148W","D_SOD-123_Keyboard",306.012000,-82.175000,0.000000,top
"D76","1N4148W","D_SOD-123_Keyboard",325.063000,-82.175000,0.000000,top
"D77","1N4148W","D_SOD-123_Keyboard",306.012000,-63.125000,0.000000,top
"D78","1N4148W","D_SOD-123_Keyboard",325.063000,-63.125000,0.000000,top
"D79","1N4148W","D_SOD-123_Keyboard",306.012000,-44.075000,0.000000,top
"D80","1N4148W","D_SOD-123_Keyboard",286.963000,-25.025000,0.000000,top
"D81","1N4148W","D_SOD-123_Keyboard",306.012000,-25.025000,0.000000,top
"D82","1N4148W","D_SOD-123_Keyboard",325.063000,-25.025000,0.000000,top
"F1","500mA","Polyfuse_1206",117.000000,-138.000000,0.000000,top
"J1","USB_C_HRO_TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",168.540000,-147.660000,0.000000,top
"J3","OSO_Module_Bay_10","OSO_Module_Bay_10",38.000000,-119.563000,0.000000,top
"R1","5.1k","R_0603",179.500000,-147.000000,0.000000,top
"R2","5.1k","R_0603",179.500000,-144.000000,0.000000,top
"R3","27R","R_0603",157.500000,-145.000000,0.000000,top
"R4","27R","R_0603",157.500000,-141.500000,0.000000,top
"R5","10k","R_0603",124.500000,-138.000000,0.000000,top
"R6","10k","R_0603",131.500000,-138.000000,0.000000,top
"R10","10k","R_0603",109.500000,-138.000000,0.000000,top
"SW1","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",75.675000,-118.537000,180.000000,top
"SW2","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",94.725000,-118.537000,180.000000,top
"SW3","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",113.775000,-118.537000,180.000000,top
"SW4","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",142.350000,-118.537000,180.000000,top
"SW5","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",161.400000,-118.537000,180.000000,top
"SW6","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",180.450000,-118.537000,180.000000,top
"SW7","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",199.500000,-118.537000,180.000000,top
"SW8","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",228.075000,-118.537000,180.000000,top
"SW9","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",247.125000,-118.537000,180.000000,top
"SW10","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",266.175000,-118.537000,180.000000,top
"SW11","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",285.225000,-118.537000,180.000000,top
"SW12","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",18.525000,-94.725000,180.000000,top
"SW13","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",37.575000,-94.725000,180.000000,top
"SW14","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",56.625000,-94.725000,180.000000,top
"SW15","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",75.675000,-94.725000,180.000000,top
"SW16","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",94.725000,-94.725000,180.000000,top
"SW17","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",113.775000,-94.725000,180.000000,top
"SW18","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",132.825000,-94.725000,180.000000,top
"SW19","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",151.875000,-94.725000,180.000000,top
"SW20","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",170.925000,-94.725000,180.000000,top
"SW21","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",189.975000,-94.725000,180.000000,top
"SW22","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",209.025000,-94.725000,180.000000,top
"SW23","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",228.075000,-94.725000,180.000000,top
"SW24","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",247.125000,-94.725000,180.000000,top
"SW25","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",275.700000,-94.725000,180.000000,top
"SW26","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",23.288000,-75.675000,180.000000,top
"SW27","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",47.100000,-75.675000,180.000000,top
"SW28","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",66.150000,-75.675000,180.000000,top
"SW29","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",85.200000,-75.675000,180.000000,top
"SW30","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",104.250000,-75.675000,180.000000,top
"SW31","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",123.300000,-75.675000,180.000000,top
"SW32","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",142.350000,-75.675000,180.000000,top
"SW33","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",161.400000,-75.675000,180.000000,top
"SW34","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",180.450000,-75.675000,180.000000,top
"SW35","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",199.500000,-75.675000,180.000000,top
"SW36","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",218.550000,-75.675000,180.000000,top
"SW37","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",237.600000,-75.675000,180.000000,top
"SW38","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",256.650000,-75.675000,180.000000,top
"SW39","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",280.463000,-75.675000,180.000000,top
"SW40","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",25.669000,-56.625000,180.000000,top
"SW41","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",51.863000,-56.625000,180.000000,top
"SW42","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",70.912000,-56.625000,180.000000,top
"SW43","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",89.963000,-56.625000,180.000000,top
"SW44","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",109.013000,-56.625000,180.000000,top
"SW45","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",128.063000,-56.625000,180.000000,top
"SW46","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",147.113000,-56.625000,180.000000,top
"SW47","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",166.162000,-56.625000,180.000000,top
"SW48","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",185.213000,-56.625000,180.000000,top
"SW49","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",204.263000,-56.625000,180.000000,top
"SW50","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",223.313000,-56.625000,180.000000,top
"SW51","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",242.363000,-56.625000,180.000000,top
"SW52","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",273.319000,-56.625000,180.000000,top
"SW53","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",30.431000,-37.575000,180.000000,top
"SW54","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",61.388000,-37.575000,180.000000,top
"SW55","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",80.438000,-37.575000,180.000000,top
"SW56","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",99.487000,-37.575000,180.000000,top
"SW57","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",118.538000,-37.575000,180.000000,top
"SW58","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",137.588000,-37.575000,180.000000,top
"SW59","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",156.638000,-37.575000,180.000000,top
"SW60","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",175.688000,-37.575000,180.000000,top
"SW61","MX_Hotswap","SW_Hotswap_Kailh_MX_Plated_1.00u_With_Switch",194.738000,-37.575000,180.000000,top
