switch_ref,diode_ref,label,row,col,switch_pin_1,switch_pin_2,diode_anode,diode_cathode,column_net,row_net,x_mm,y_mm
SW1,D1,F2,0,2,COL2,D1_A,D1_A,ROW0,COL2,ROW0,75.675,18.525
SW2,D2,F3,0,3,COL3,D2_A,D2_A,ROW0,COL3,ROW0,94.725,18.525
SW3,D3,F4,0,4,COL4,D3_A,D3_A,ROW0,COL4,ROW0,113.775,18.525
SW4,D4,F5,0,5,COL5,D4_A,D4_A,ROW0,COL5,ROW0,142.350,18.525
SW5,D5,F6,0,6,COL6,D5_A,D5_A,ROW0,COL6,ROW0,161.400,18.525
SW6,D6,F7,0,7,COL7,D6_A,D6_A,ROW0,COL7,ROW0,180.450,18.525
SW7,D7,F8,0,8,COL8,D7_A,D7_A,ROW0,COL8,ROW0,199.500,18.525
SW8,D8,F9,0,9,COL9,D8_A,D8_A,ROW0,COL9,ROW0,228.075,18.525
SW9,D9,F10,0,10,COL10,D9_A,D9_A,ROW0,COL10,ROW0,247.125,18.525
SW10,D10,F11,0,11,COL11,D10_A,D10_A,ROW0,COL11,ROW0,266.175,18.525
SW11,D11,F12,0,12,COL12,D11_A,D11_A,ROW0,COL12,ROW0,285.225,18.525
SW12,D12,`,1,0,COL0,D12_A,D12_A,ROW1,COL0,ROW1,18.525,42.337
SW13,D13,1,1,1,COL1,D13_A,D13_A,ROW1,COL1,ROW1,37.575,42.337
SW14,D14,2,1,2,COL2,D14_A,D14_A,ROW1,COL2,ROW1,56.625,42.337
SW15,D15,3,1,3,COL3,D15_A,D15_A,ROW1,COL3,ROW1,75.675,42.337
SW16,D16,4,1,4,COL4,D16_A,D16_A,ROW1,COL4,ROW1,94.725,42.337
SW17,D17,5,1,5,COL5,D17_A,D17_A,ROW1,COL5,ROW1,113.775,42.337
SW18,D18,6,1,6,COL6,D18_A,D18_A,ROW1,COL6,ROW1,132.825,42.337
SW19,D19,7,1,7,COL7,D19_A,D19_A,ROW1,COL7,ROW1,151.875,42.337
SW20,D20,8,1,8,COL8,D20_A,D20_A,ROW1,COL8,ROW1,170.925,42.337
SW21,D21,9,1,9,COL9,D21_A,D21_A,ROW1,COL9,ROW1,189.975,42.337
SW22,D22,0,1,10,COL10,D22_A,D22_A,ROW1,COL10,ROW1,209.025,42.337
SW23,D23,-,1,11,COL11,D23_A,D23_A,ROW1,COL11,ROW1,228.075,42.337
SW24,D24,=,1,12,COL12,D24_A,D24_A,ROW1,COL12,ROW1,247.125,42.337
SW25,D25,Backspace,1,13,COL13,D25_A,D25_A,ROW1,COL13,ROW1,275.700,42.337
SW26,D26,Tab,2,0,COL0,D26_A,D26_A,ROW2,COL0,ROW2,23.288,61.388
SW27,D27,Q,2,1,COL1,D27_A,D27_A,ROW2,COL1,ROW2,47.100,61.388
SW28,D28,W,2,2,COL2,D28_A,D28_A,ROW2,COL2,ROW2,66.150,61.388
SW29,D29,E,2,3,COL3,D29_A,D29_A,ROW2,COL3,ROW2,85.200,61.388
SW30,D30,R,2,4,COL4,D30_A,D30_A,ROW2,COL4,ROW2,104.250,61.388
SW31,D31,T,2,5,COL5,D31_A,D31_A,ROW2,COL5,ROW2,123.300,61.388
SW32,D32,Y,2,6,COL6,D32_A,D32_A,ROW2,COL6,ROW2,142.350,61.388
SW33,D33,U,2,7,COL7,D33_A,D33_A,ROW2,COL7,ROW2,161.400,61.388
SW34,D34,I,2,8,COL8,D34_A,D34_A,ROW2,COL8,ROW2,180.450,61.388
SW35,D35,O,2,9,COL9,D35_A,D35_A,ROW2,COL9,ROW2,199.500,61.388
SW36,D36,P,2,10,COL10,D36_A,D36_A,ROW2,COL10,ROW2,218.550,61.388
SW37,D37,[,2,11,COL11,D37_A,D37_A,ROW2,COL11,ROW2,237.600,61.388
SW38,D38,],2,12,COL12,D38_A,D38_A,ROW2,COL12,ROW2,256.650,61.388
SW39,D39,\,2,13,COL13,D39_A,D39_A,ROW2,COL13,ROW2,280.463,61.388
SW40,D40,Caps,3,0,COL0,D40_A,D40_A,ROW3,COL0,ROW3,25.669,80.438
SW41,D41,A,3,1,COL1,D41_A,D41_A,ROW3,COL1,ROW3,51.863,80.438
SW42,D42,S,3,2,COL2,D42_A,D42_A,ROW3,COL2,ROW3,70.912,80.438
SW43,D43,D,3,3,COL3,D43_A,D43_A,ROW3,COL3,ROW3,89.963,80.438
SW44,D44,F,3,4,COL4,D44_A,D44_A,ROW3,COL4,ROW3,109.013,80.438
SW45,D45,G,3,5,COL5,D45_A,D45_A,ROW3,COL5,ROW3,128.063,80.438
SW46,D46,H,3,6,COL6,D46_A,D46_A,ROW3,COL6,ROW3,147.113,80.438
SW47,D47,J,3,7,COL7,D47_A,D47_A,ROW3,COL7,ROW3,166.162,80.438
SW48,D48,K,3,8,COL8,D48_A,D48_A,ROW3,COL8,ROW3,185.213,80.438
SW49,D49,L,3,9,COL9,D49_A,D49_A,ROW3,COL9,ROW3,204.263,80.438
SW50,D50,;,3,10,COL10,D50_A,D50_A,ROW3,COL10,ROW3,223.313,80.438
SW51,D51,',3,11,COL11,D51_A,D51_A,ROW3,COL11,ROW3,242.363,80.438
SW52,D52,Enter,3,12,COL12,D52_A,D52_A,ROW3,COL12,ROW3,273.319,80.438
SW53,D53,LShift,4,0,COL0,D53_A,D53_A,ROW4,COL0,ROW4,30.431,99.487
SW54,D54,Z,4,1,COL1,D54_A,D54_A,ROW4,COL1,ROW4,61.388,99.487
SW55,D55,X,4,2,COL2,D55_A,D55_A,ROW4,COL2,ROW4,80.438,99.487
SW56,D56,C,4,3,COL3,D56_A,D56_A,ROW4,COL3,ROW4,99.487,99.487
SW57,D57,V,4,4,COL4,D57_A,D57_A,ROW4,COL4,ROW4,118.538,99.487
SW58,D58,B,4,5,COL5,D58_A,D58_A,ROW4,COL5,ROW4,137.588,99.487
SW59,D59,N,4,6,COL6,D59_A,D59_A,ROW4,COL6,ROW4,156.638,99.487
SW60,D60,M,4,7,COL7,D60_A,D60_A,ROW4,COL7,ROW4,175.688,99.487
SW61,D61,",",4,8,COL8,D61_A,D61_A,ROW4,COL8,ROW4,194.738,99.487
SW62,D62,.,4,9,COL9,D62_A,D62_A,ROW4,COL9,ROW4,213.787,99.487
SW63,D63,/,4,10,COL10,D63_A,D63_A,ROW4,COL10,ROW4,232.838,99.487
SW64,D64,RShift,4,11,COL11,D64_A,D64_A,ROW4,COL11,ROW4,259.031,99.487
SW65,D65,LCtrl,5,0,COL0,D65_A,D65_A,ROW5,COL0,ROW5,20.906,118.538
SW66,D66,LGUI,5,1,COL1,D66_A,D66_A,ROW5,COL1,ROW5,44.719,118.538
SW67,D67,LAlt,5,2,COL2,D67_A,D67_A,ROW5,COL2,ROW5,68.531,118.538
SW68,D68,Space,5,3,COL3,D68_A,D68_A,ROW5,COL3,ROW5,139.969,118.538
SW69,D69,RAlt,5,4,COL4,D69_A,D69_A,ROW5,COL4,ROW5,211.406,118.538
SW70,D70,Fn,5,5,COL5,D70_A,D70_A,ROW5,COL5,ROW5,235.219,118.538
SW71,D71,RCtrl,5,6,COL6,D71_A,D71_A,ROW5,COL6,ROW5,259.031,118.538
SW72,D72,PrtSc,0,13,COL13,D72_A,D72_A,ROW0,COL13,ROW0,309.038,18.525
