ref,type,label,row,col,x_mm,y_mm,rotation,footprint
SW1,switch,"Esc",0,0,18.525,18.525,0,MX_Hotswap_1u
D1,diode,"Esc",0,0,25.025,25.025,90,D_SOD-123
SW2,switch,"F1",0,1,56.625,18.525,0,MX_Hotswap_1u
D2,diode,"F1",0,1,63.125,25.025,90,D_SOD-123
SW3,switch,"F2",0,2,75.675,18.525,0,MX_Hotswap_1u
D3,diode,"F2",0,2,82.175,25.025,90,D_SOD-123
SW4,switch,"F3",0,3,94.725,18.525,0,MX_Hotswap_1u
D4,diode,"F3",0,3,101.225,25.025,90,D_SOD-123
SW5,switch,"F4",0,4,113.775,18.525,0,MX_Hotswap_1u
D5,diode,"F4",0,4,120.275,25.025,90,D_SOD-123
SW6,switch,"F5",0,5,142.350,18.525,0,MX_Hotswap_1u
D6,diode,"F5",0,5,148.850,25.025,90,D_SOD-123
SW7,switch,"F6",0,6,161.400,18.525,0,MX_Hotswap_1u
D7,diode,"F6",0,6,167.900,25.025,90,D_SOD-123
SW8,switch,"F7",0,7,180.450,18.525,0,MX_Hotswap_1u
D8,diode,"F7",0,7,186.950,25.025,90,D_SOD-123
SW9,switch,"F8",0,8,199.500,18.525,0,MX_Hotswap_1u
D9,diode,"F8",0,8,206.000,25.025,90,D_SOD-123
SW10,switch,"F9",0,9,228.075,18.525,0,MX_Hotswap_1u
D10,diode,"F9",0,9,234.575,25.025,90,D_SOD-123
SW11,switch,"F10",0,10,247.125,18.525,0,MX_Hotswap_1u
D11,diode,"F10",0,10,253.625,25.025,90,D_SOD-123
SW12,switch,"F11",0,11,266.175,18.525,0,MX_Hotswap_1u
D12,diode,"F11",0,11,272.675,25.025,90,D_SOD-123
SW13,switch,"F12",0,12,285.225,18.525,0,MX_Hotswap_1u
D13,diode,"F12",0,12,291.725,25.025,90,D_SOD-123
SW14,switch,"`",1,0,18.525,42.337,0,MX_Hotswap_1u
D14,diode,"`",1,0,25.025,48.837,90,D_SOD-123
SW15,switch,"1",1,1,37.575,42.337,0,MX_Hotswap_1u
D15,diode,"1",1,1,44.075,48.837,90,D_SOD-123
SW16,switch,"2",1,2,56.625,42.337,0,MX_Hotswap_1u
D16,diode,"2",1,2,63.125,48.837,90,D_SOD-123
SW17,switch,"3",1,3,75.675,42.337,0,MX_Hotswap_1u
D17,diode,"3",1,3,82.175,48.837,90,D_SOD-123
SW18,switch,"4",1,4,94.725,42.337,0,MX_Hotswap_1u
D18,diode,"4",1,4,101.225,48.837,90,D_SOD-123
SW19,switch,"5",1,5,113.775,42.337,0,MX_Hotswap_1u
D19,diode,"5",1,5,120.275,48.837,90,D_SOD-123
